epoch,accuracy,loss,val_accuracy,val_loss
0,0.35067811608314514,1.3310755491256714,0.4149855971336365,1.2920122146606445
1,0.6374204158782959,1.0013080835342407,0.651296854019165,0.9706643223762512
2,0.7899252772331238,0.5849444270133972,0.6887608170509338,0.8345714807510376
3,0.847771942615509,0.4152640104293823,0.6829971075057983,0.8432824611663818
4,0.8859673142433167,0.32530948519706726,0.6743515729904175,0.877117395401001
5,0.9141987562179565,0.26382243633270264,0.6685879230499268,0.9357196092605591
6,0.9285911917686462,0.2158544361591339,0.6714697480201721,1.0175987482070923
7,0.9393855333328247,0.18365341424942017,0.6570605039596558,1.0593547821044922
8,0.9551619291305542,0.15396614372730255,0.6657060384750366,1.1398321390151978
9,0.9593135714530945,0.13206447660923004,0.6772334575653076,1.1809180974960327
10,0.9645723700523376,0.11498796939849854,0.6743515729904175,1.2375338077545166
11,0.9673401713371277,0.11036098748445511,0.6772334575653076,1.3013787269592285
12,0.9706615209579468,0.09797834604978561,0.6570605039596558,1.3451462984085083
13,0.9723221659660339,0.09066847711801529,0.6599423885345459,1.3723376989364624
14,0.9725989699363708,0.09135252982378006,0.6743515729904175,1.4110307693481445
15,0.9731525182723999,0.08736330270767212,0.651296854019165,1.4438605308532715
16,0.9712150692939758,0.09051280468702316,0.6685879230499268,1.4742611646652222
17,0.9731525182723999,0.08160135895013809,0.6570605039596558,1.5267689228057861
18,0.9759202599525452,0.076809823513031,0.6541786789894104,1.495896339416504
19,0.9759202599525452,0.06919088959693909,0.6455331444740295,1.580687403678894
20,0.977027416229248,0.06928734481334686,0.6570605039596558,1.6066161394119263
21,0.9761970639228821,0.07353626936674118,0.6541786789894104,1.60169517993927
22,0.976473867893219,0.06696590036153793,0.6714697480201721,1.603177547454834
23,0.9775809645652771,0.060368601232767105,0.6743515729904175,1.6217352151870728
24,0.9773041605949402,0.06295264512300491,0.6628242135047913,1.70291006565094
